Temps;Déplacement;Déformation 1;Force
(s);(mm);(%);(kN)
"20,5000";"0,6549";"-0,3888";"7,1149"
"20,6000";"0,6581";"-0,3875";"7,1399"
"20,7000";"0,6613";"-0,3863";"7,1657"
"20,8000";"0,6644";"-0,3852";"7,1877"
"20,9000";"0,6676";"-0,3840";"7,2126"
"21,0000";"0,6709";"-0,3827";"7,2394"
"21,1000";"0,6741";"-0,3814";"7,2635"
"21,2000";"0,6773";"-0,3801";"7,2882"
"21,3000";"0,6805";"-0,3790";"7,3141"
"21,4000";"0,6837";"-0,3779";"7,3380"
"21,5000";"0,6869";"-0,3766";"7,3616"
"21,6000";"0,6900";"-0,3755";"7,3849"
"21,7000";"0,6933";"-0,3742";"7,4106"
"21,8000";"0,6964";"-0,3729";"7,4340"
"21,9000";"0,6996";"-0,3718";"7,4570"
"22,0000";"0,7028";"-0,3704";"7,4834"
"22,1000";"0,7061";"-0,3692";"7,5092"
"22,2000";"0,7093";"-0,3680";"7,5316"
"22,3000";"0,7125";"-0,3668";"7,5561"
"22,4000";"0,7158";"-0,3654";"7,5828"
"22,5000";"0,7189";"-0,3642";"7,6043"
"22,6000";"0,7220";"-0,3631";"7,6284"
"22,7000";"0,7252";"-0,3618";"7,6528"
"22,8000";"0,7285";"-0,3604";"7,6786"
"22,9000";"0,7316";"-0,3592";"7,7017"
"23,0000";"0,7348";"-0,3579";"7,7267"
"23,1000";"0,7381";"-0,3566";"7,7521"
"23,2000";"0,7413";"-0,3554";"7,7766"
"23,3000";"0,7444";"-0,3540";"7,7985"
"23,4000";"0,7477";"-0,3528";"7,8244"
"23,5000";"0,7509";"-0,3515";"7,8489"
"23,6000";"0,7540";"-0,3502";"7,8716"
"23,7000";"0,7572";"-0,3490";"7,8947"
"23,8000";"0,7605";"-0,3475";"7,9219"
"23,9000";"0,7636";"-0,3463";"7,9445"
"24,0000";"0,7669";"-0,3449";"7,9691"
"24,1000";"0,7701";"-0,3436";"7,9940"
"24,2000";"0,7733";"-0,3422";"8,0191"
"24,3000";"0,7765";"-0,3409";"8,0418"
"24,4000";"0,7796";"-0,3396";"8,0651"
"24,5000";"0,7829";"-0,3382";"8,0902"
"24,6000";"0,7861";"-0,3369";"8,1140"
"24,7000";"0,7892";"-0,3356";"8,1365"
"24,8000";"0,7924";"-0,3341";"8,1619"
"24,9000";"0,7957";"-0,3327";"8,1886"
"25,0000";"0,7989";"-0,3313";"8,2115"
"25,1000";"0,8021";"-0,3299";"8,2357"
"25,2000";"0,8053";"-0,3285";"8,2611"
"25,3000";"0,8085";"-0,3272";"8,2831"
"25,4000";"0,8116";"-0,3257";"8,3061"
"25,5000";"0,8148";"-0,3244";"8,3310"
"25,6000";"0,8180";"-0,3229";"8,3556"
"25,7000";"0,8212";"-0,3215";"8,3794"
"25,8000";"0,8244";"-0,3201";"8,4033"
"25,9000";"0,8277";"-0,3185";"8,4304"
"26,0000";"0,8309";"-0,3170";"8,4535"
"26,1000";"0,8340";"-0,3156";"8,4754"
"26,2000";"0,8373";"-0,3142";"8,4999"
"26,3000";"0,8405";"-0,3127";"8,5261"
"26,4000";"0,8436";"-0,3113";"8,5473"
"26,5000";"0,8468";"-0,3098";"8,5710"
"26,6000";"0,8500";"-0,3083";"8,5973"
"26,7000";"0,8533";"-0,3067";"8,6213"
"26,8000";"0,8565";"-0,3054";"8,6444"
"26,9000";"0,8597";"-0,3036";"8,6695"
"27,0000";"0,8629";"-0,3021";"8,6932"
"27,1000";"0,8661";"-0,3006";"8,7167"
"27,2000";"0,8692";"-0,2991";"8,7385"
"27,3000";"0,8725";"-0,2974";"8,7647"
"27,4000";"0,8756";"-0,2959";"8,7878"
"27,5000";"0,8788";"-0,2943";"8,8106"
"27,6000";"0,8820";"-0,2928";"8,8345"
"27,7000";"0,8854";"-0,2911";"8,8614"
"27,8000";"0,8885";"-0,2896";"8,8831"
"27,9000";"0,8917";"-0,2880";"8,9069"
"28,0000";"0,8949";"-0,2863";"8,9319"
"28,1000";"0,8981";"-0,2846";"8,9548"
"28,2000";"0,9012";"-0,2830";"8,9773"
"28,3000";"0,9044";"-0,2813";"9,0005"
"28,4000";"0,9076";"-0,2797";"9,0250"
"28,5000";"0,9109";"-0,2780";"9,0492"
"28,6000";"0,9140";"-0,2763";"9,0712"
"28,7000";"0,9173";"-0,2746";"9,0975"
"28,8000";"0,9205";"-0,2729";"9,1213"
"28,9000";"0,9237";"-0,2713";"9,1425"
"29,0000";"0,9269";"-0,2695";"9,1669"
"29,1000";"0,9301";"-0,2677";"9,1902"
"29,2000";"0,9332";"-0,2661";"9,2115"
"29,3000";"0,9364";"-0,2643";"9,2338"
"29,4000";"0,9397";"-0,2624";"9,2600"
"29,5000";"0,9428";"-0,2608";"9,2825"
"29,6000";"0,9461";"-0,2590";"9,3064"
"29,7000";"0,9493";"-0,2571";"9,3298"
"29,8000";"0,9525";"-0,2553";"9,3542"
"29,9000";"0,9557";"-0,2536";"9,3755"
"30,0000";"0,9588";"-0,2518";"9,3968"
"30,1000";"0,9621";"-0,2499";"9,4212"
"30,2000";"0,9653";"-0,2480";"9,4450"
"30,3000";"0,9684";"-0,2462";"9,4659"
"30,4000";"0,9716";"-0,2443";"9,4908"
"30,5000";"0,9749";"-0,2423";"9,5162"
"30,6000";"0,9781";"-0,2405";"9,5379"
"30,7000";"0,9813";"-0,2386";"9,5594"
"30,8000";"0,9845";"-0,2365";"9,5847"
"30,9000";"0,9877";"-0,2347";"9,6056"
"31,0000";"0,9909";"-0,2327";"9,6285"
"31,1000";"0,9940";"-0,2309";"9,6502"
"31,2000";"0,9973";"-0,2289";"9,6750"
"31,3000";"1,0004";"-0,2269";"9,6973"
"31,4000";"1,0036";"-0,2249";"9,7193"
"31,5000";"1,0069";"-0,2229";"9,7431"
"31,6000";"1,0102";"-0,2209";"9,7673"
"31,7000";"1,0132";"-0,2189";"9,7873"
"31,8000";"1,0165";"-0,2169";"9,8110"
"31,9000";"1,0197";"-0,2148";"9,8346"
"32,0000";"1,0229";"-0,2128";"9,8560"
"32,1000";"1,0260";"-0,2107";"9,8767"
"32,2000";"1,0293";"-0,2086";"9,9012"
"32,3000";"1,0324";"-0,2064";"9,9235"
"32,4000";"1,0357";"-0,2044";"9,9464"
"32,5000";"1,0389";"-0,2023";"9,9690"
"32,6000";"1,0421";"-0,2001";"9,9921"
"32,7000";"1,0453";"-0,1980";"10,0141"
"32,8000";"1,0484";"-0,1958";"10,0339"
"32,9000";"1,0517";"-0,1936";"10,0578"
"33,0000";"1,0549";"-0,1915";"10,0798"
"33,1000";"1,0580";"-0,1894";"10,1003"
"33,2000";"1,0612";"-0,1870";"10,1230"
"33,3000";"1,0645";"-0,1848";"10,1487"
"33,4000";"1,0677";"-0,1825";"10,1690"
"33,5000";"1,0709";"-0,1803";"10,1906"
"33,6000";"1,0741";"-0,1780";"10,2134"
"33,7000";"1,0773";"-0,1756";"10,2355"
"33,8000";"1,0804";"-0,1734";"10,2556"
"33,9000";"1,0836";"-0,1711";"10,2770"
"34,0000";"1,0868";"-0,1688";"10,3002"
"34,1000";"1,0901";"-0,1665";"10,3235"
"34,2000";"1,0932";"-0,1641";"10,3432"
"34,3000";"1,0965";"-0,1617";"10,3675"
"34,4000";"1,0997";"-0,1592";"10,3893"
"34,5000";"1,1029";"-0,1569";"10,4095"
"34,6000";"1,1061";"-0,1545";"10,4310"
"34,7000";"1,1093";"-0,1521";"10,4542"
"34,8000";"1,1124";"-0,1498";"10,4740"
"34,9000";"1,1156";"-0,1473";"10,4951"
"35,0000";"1,1188";"-0,1448";"10,5173"
"35,1000";"1,1221";"-0,1422";"10,5402"
"35,2000";"1,1253";"-0,1397";"10,5615"
"35,3000";"1,1285";"-0,1371";"10,5830"
"35,4000";"1,1317";"-0,1346";"10,6050"
"35,5000";"1,1349";"-0,1321";"10,6268"
"35,6000";"1,1380";"-0,1295";"10,6448"
"35,7000";"1,1413";"-0,1270";"10,6676"
"35,8000";"1,1445";"-0,1243";"10,6884"
"35,9000";"1,1476";"-0,1217";"10,7081"
"36,0000";"1,1508";"-0,1192";"10,7293"
"36,1000";"1,1541";"-0,1164";"10,7529"
"36,2000";"1,1573";"-0,1139";"10,7733"
"36,3000";"1,1605";"-0,1112";"10,7928"
"36,4000";"1,1637";"-0,1085";"10,8153"
"36,5000";"1,1669";"-0,1057";"10,8349"
"36,6000";"1,1701";"-0,1031";"10,8546"
"36,7000";"1,1732";"-0,1005";"10,8736"
"36,8000";"1,1764";"-0,0977";"10,8968"
"36,9000";"1,1797";"-0,0949";"10,9176"
"37,0000";"1,1828";"-0,0921";"10,9365"
"37,1000";"1,1861";"-0,0892";"10,9583"
"37,2000";"1,1894";"-0,0864";"10,9806"
"37,3000";"1,1925";"-0,0836";"10,9973"
"37,4000";"1,1957";"-0,0808";"11,0179"
"37,5000";"1,1989";"-0,0780";"11,0385"
"37,6000";"1,2021";"-0,0751";"11,0588"
"37,7000";"1,2052";"-0,0723";"11,0775"
"37,8000";"1,2084";"-0,0694";"11,0984"
"37,9000";"1,2116";"-0,0664";"11,1188"
"38,0000";"1,2149";"-0,0634";"11,1396"
"38,1000";"1,2181";"-0,0606";"11,1578"
"38,2000";"1,2213";"-0,0576";"11,1794"
"38,3000";"1,2245";"-0,0545";"11,1987"
"38,4000";"1,2276";"-0,0515";"11,2163"
"38,5000";"1,2308";"-0,0485";"11,2363"
"38,6000";"1,2341";"-0,0454";"11,2572"
"38,7000";"1,2372";"-0,0425";"11,2736"
"38,8000";"1,2404";"-0,0394";"11,2936"
"38,9000";"1,2437";"-0,0362";"11,3148"
"39,0000";"1,2469";"-0,0332";"11,3342"
"39,1000";"1,2501";"-0,0301";"11,3523"
"39,2000";"1,2533";"-0,0269";"11,3723"
"39,3000";"1,2565";"-0,0237";"11,3912"
"39,4000";"1,2597";"-0,0205";"11,4096"
"39,5000";"1,2628";"-0,0175";"11,4264"
"39,6000";"1,2660";"-0,0141";"11,4466"
"39,7000";"1,2693";"-0,0109";"11,4662"
"39,8000";"1,2724";"-0,0078";"11,4839"
"39,9000";"1,2757";"-0,0044";"11,5044"
"40,0000";"1,2789";"-0,0010";"11,5238"
"40,1000";"1,2821";"0,0021";"11,5400"
"40,2000";"1,2853";"0,0055";"11,5580"
"40,3000";"1,2885";"0,0088";"11,5774"
"40,4000";"1,2917";"0,0122";"11,5944"
"40,5000";"1,2948";"0,0155";"11,6117"
"40,6000";"1,2980";"0,0190";"11,6310"
"40,7000";"1,3013";"0,0224";"11,6505"
"40,8000";"1,3045";"0,0259";"11,6683"
"40,9000";"1,3077";"0,0293";"11,6852"
"41,0000";"1,3109";"0,0327";"11,7033"
"41,1000";"1,3142";"0,0364";"11,7226"
"41,2000";"1,3172";"0,0398";"11,7367"
"41,3000";"1,3205";"0,0433";"11,7559"
"41,4000";"1,3236";"0,0468";"11,7733"
"41,5000";"1,3268";"0,0504";"11,7906"
